"state","country","browser","device"
"CA","US","Chrome",
"IN","US","IE",
,"NO","Chrome",
,"US","Mobile Safari","tablet"
"IN","US","IE",
"IN","US","IE",
"BJ","CN",,
"CO","US","Chrome",
"MO","US","Mozilla",
"MA","US","Chrome",
"MA","US","Chrome",
"IA","US","IE",
"CA","US","Chrome",
"CA","US","Chrome",
,"US","Android Browser","mobile"
"CA","US","Chrome",
"MI","US","Mozilla","mobile"
"IN","US","IE","mobile"
,"US",,
,"US",,
"CA","US","Chrome","mobile"
"MA","US","Chrome",
,"US",,
,"US",,
"CA","US","Chrome",
"WA","US",,
"WA","US",,
"WA","US",,
"IA","US","IE",
,"US",,
"VT","US","IE",
"VT","US","IE",
,"US","IE",
"CO","US",,
,"US","IE",
"TN","US","Chrome",
,"US","Android Browser","mobile"
"PA","US","Chrome","mobile"
"PA","US","Chrome","mobile"
"WA","US",,
"IA","US","IE",
,"US",,
"PA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
,"US","IE",
"PA","US","Chrome","mobile"
"WA","US",,
"MA","US","Chrome",
"OR","US",,
"CA","US","Chrome",
"CA","US","Chrome",
,"US","IE","mobile"
"CA","US","Chrome",
"TN","US","IE",
"VT","US","IE","mobile"
"WA","US",,
"WA","US",,
,"DE","Mozilla",
"TN","US","IE","mobile"
"WA","US",,
"TN","US","IE","mobile"
"PA","US",,
"IL","US",,
,"US","IE","mobile"
"MA","US","Chrome",
"VT","US","IE","mobile"
"MI","US","Chrome","mobile"
"TN","US","IE","mobile"
"TN","US","Safari","mobile"
,"US","IE",
,"US","Chrome",
"MA","US","Chrome",
"NY","US","Safari",
"MA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"OR","US","Chrome",
"OR","US","Chrome",
"OR","US","Chrome",
"OR","US","Chrome",
"MI","US","Chrome","mobile"
,"US","Mobile Safari","mobile"
,"US","IE",
"MA","US","Chrome",
"CA","US","Chrome",
"NY","US","Safari","mobile"
"FL","US","Safari",
"IL","US",,
"FL","US","Safari","mobile"
,"US","IE",
"MA","US","Chrome",
,"US","IE","mobile"
,"US","IE",
"TN","US","IE",
"NY","US","Safari","mobile"
,"US","IE",
"MI","US","Mozilla",
,"US","Safari",
,"US",,
"OR","US","Chrome",
"FL","US","Safari","mobile"
"OR","US","Chrome",
,"US",,"mobile"
,"US","Safari",
"FL","US","Safari","mobile"
"OR","US","Chrome",
"IL","US",,
,"US","IE",
"IL","US",,
"OR","US","Chrome",
"NC","US",,
"WA","US",,
"MA","US","Chrome",
,"US","Safari",
"NC","US",,
"FL","US","Safari","mobile"
,"US",,
"PA","US","Chrome",
"MA","US","Chrome",
"WA","US","Chrome",
,"US",,"mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"TX","US","IE",
"WA","US",,
"RI","US","Samsung Browser","mobile"
,"US",,
"WA","US",,
"IA","US","IE",
"TX","US","IE","mobile"
"WA","US",,
"NY","US","Chrome",
"WI","US","IE",
"MA","US","Chrome",
"IL","US",,
,"PL",,
"MA","US","Chrome",
,"US",,
"MA","US","Chrome",
,"US","IE",
"BJ","CN",,
"IL","US",,
"IL","US",,
"NY","US","Chrome",
"MA","US","Chrome",
"BJ","CN","Baidu",
"MA","US","Chrome",
,"FR",,
"MA","US","Chrome",
"WA","US",,
"WA","US",,
"FL","US","GSA","tablet"
"WA","US",,
"WA","US",,
"TX","US","Android Browser","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"PA","US","Chrome","mobile"
"PA","US","Chrome",
"PA","US","Chrome","mobile"
"NY","US","IE",
"PA","US","Chrome","mobile"
"MD","US","Mozilla","mobile"
"VA","US",,
,"US",,
"MD","US","Mozilla","mobile"
"NJ","US","Chrome",
"FL","US","GSA","tablet"
"WA","US",,
"MD","US","Mozilla",
"NC","US",,
"TN","US","Safari",
,"FR","Mozilla",
"CA","US","Chrome",
"MD","US","Mozilla","mobile"
"MA","US","Chrome",
"FL","US","GSA","tablet"
"PA","US","WebKit","tablet"
"IL","US",,
"IL","US",,
"IL","US",,
"PA","US","WebKit","tablet"
"MA","US","Chrome",
"FL","US","GSA","tablet"
"MA","US","Chrome",
"CA","US","Chrome","mobile"
"CA","US","Chrome",
,"US","IE",
"MA","US","Chrome",
"MA","US","Chrome",
,"US","IE",
"NY","US","Chrome",
,"US","IE",
"CA","US","Chrome","mobile"
,"FR",,
,"US","Chrome",
,"US","Chrome",
,"US","Chrome",
,"US","IE",
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"WA","US",,
,"US","Chrome",
,"US","IE","mobile"
"WI","US","IE",
"WA","US",,
,"US","Chrome","mobile"
"CA","US","Chrome",
"SV","RO","Chrome","mobile"
,"US","Chrome",
,"US",,
"WA","US",,
"SV","RO","Chrome","mobile"
"MA","US","Chrome",
"WA","US",,
,"US","Chrome","mobile"
,"US","IE","mobile"
"10","CZ",,
"WA","US",,
,"US","IE",
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
"MA","US","Chrome",
"WA","US",,
"MA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"SV","RO","Chrome",
"NC","US","IE",
"NC","US","IE",
,"US","Chrome",
,"US","Mozilla",
"MA","US","Chrome",
"MA","US","Chrome",
"WA","US",,
,"US","Chrome",
"IL","US",,
"IL","US",,
"WA","US",,
"MA","US","Chrome",
,"RU","IE",
"IL","US",,
"CA","US",,
"MA","US","Chrome",
"WA","US",,
,"RU","IE",
"CA","US","Chrome","mobile"
"CA","US","Chrome","mobile"
"NY","US","Safari",
"CA","US","Chrome",
"WA","US",,
,"DE","Mozilla",
,"RU","IE",
"CA","US","Chrome","mobile"
"WA","US",,
"CA","US","Chrome","mobile"
,"US","Facebook","mobile"
,"DE","Mozilla",
"MA","US","Chrome",
,"DE","Mozilla",
"MA","US","Chrome",
"NJ","US",,
"WA","US",,
"MA","US","Chrome",
"MA","US","Chrome",
,"RU","IE",
"MA","US","Chrome",
"IL","US","Chrome WebView","mobile"
,"RU","IE",
,"RU","IE",
"NC","US","IE","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"NC","US","IE",
,"US","Android Browser","tablet"
"OR","US","Chrome",
"WA","US",,
,"US",,
"MA","US","Chrome",
"BJ","CN","Baidu",
"MA","US","Chrome",
,"US",,
,"US",,
"OH","US",,
"MA","US","Chrome",
"IL","US",,
"IL","US",,
,"FR",,
"VA","US",,
"MA","US","Chrome",
"MA","US","Chrome",
"IN","US","Android Browser","mobile"
,"US","IE","mobile"
"WA","US",,
"CA","US","Mozilla",
"IL","US",,
"IL","US",,
"IL","US",,
,"US",,
"CA","US","Chrome",
"MA","US","Chrome",
,"US",,
"WA","US",,
"MA","US","Chrome",
"MA","US","Chrome",
,"US","IE",
,"US","IE",
,"US","IE",
,"US","IE",
"WA","US",,
,"US","IE","mobile"
,"US",,
,"US",,
"MA","US","Chrome",
,"US","Android Browser","tablet"
"IL","US","IE",
"MA","US","Chrome",
,"US","Android Browser","mobile"
"NY","US","Chrome","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"L","IE",,
"IN","US","Android Browser","tablet"
,"US","IE","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"MA","US","Chrome",
"IL","US","IE",
"OH","US","Chrome",
"NY","US","Chrome",
"IL","US","IE","mobile"
"TN","US","Chrome",
"IL","US",,
"IL","US",,
"WA","US",,
"IL","US","IE","mobile"
"MA","US","Chrome",
"MA","US","Chrome",
"IL","US",,
"IL","US",,
,"US","IE",
,"US","Android Browser","mobile"
"IL","US",,
,"US",,
"IL","US","IE",
"MA","US","Chrome",
"IL","US","IE",
"MA","US","Chrome",
"MA","US","Chrome",
"OH","US","IE",
"TX","US","WebKit","tablet"
"CA","US","Mobile Safari","tablet"
